#{"t_start": 1768249545.6688778, "env_id": "SpaceInvaders-v0"}
r,l,t
310.0,1196,1114.843734
185.0,690,1116.322728
170.0,924,1118.306252
375.0,1616,1121.813239
250.0,881,1123.690914
265.0,987,1125.861017
135.0,620,1127.232009
220.0,901,1129.179391
95.0,631,1130.558734
155.0,635,1131.890934
210.0,1149,1134.462898
190.0,824,1136.300732
125.0,663,1137.732587
485.0,1416,1141.01448
515.0,1287,1143.938062
90.0,761,1145.564054
205.0,941,1147.596084
80.0,522,1148.686243
275.0,1330,1168.986701
180.0,670,1170.664658
165.0,946,1172.99033
160.0,700,1174.734618
280.0,992,1177.21994
195.0,1124,1180.091088
650.0,1498,1183.933555
490.0,1025,1186.515384
145.0,867,1188.665581
170.0,682,1190.359162
425.0,1236,1193.600063
600.0,1169,1196.554722
570.0,1291,1199.857831
220.0,867,1202.022292
140.0,674,1203.698134
520.0,1165,1206.633559
395.0,1064,1209.352907
220.0,821,1211.396852
235.0,1281,1214.597384
355.0,1128,1217.455626
105.0,658,1219.088862
165.0,1092,1222.04302
305.0,951,1224.50308
180.0,656,1226.110515
290.0,935,1228.447322
175.0,966,1230.90119
360.0,805,1232.888349
260.0,908,1235.219685
160.0,525,1236.477468
445.0,829,1238.554804
455.0,1243,1241.684534
305.0,791,1243.704571
365.0,1260,1246.949946
695.0,1281,1250.185579
235.0,946,1252.673845
385.0,1087,1255.536808
390.0,1192,1258.594018
275.0,868,1260.775591
110.0,673,1262.476184
260.0,1259,1265.713227
265.0,1161,1268.695276
290.0,945,1271.073507
450.0,1317,1274.453871
145.0,679,1276.160929
380.0,1257,1279.303363
440.0,1510,1283.307021
370.0,1065,1286.020976
245.0,824,1288.056139
290.0,1241,1291.235752
280.0,1143,1294.226938
260.0,983,1296.732652
260.0,841,1298.850543
560.0,1167,1301.999692
130.0,740,1303.957252
390.0,1261,1307.148674
275.0,797,1309.15296
150.0,873,1311.433037
110.0,494,1312.640367
655.0,1290,1316.064324
145.0,673,1317.715332
170.0,815,1319.757601
190.0,837,1321.864799
430.0,1114,1324.718316
430.0,1080,1327.516965
245.0,937,1329.88755
270.0,906,1332.186982
410.0,1557,1336.450801
355.0,1433,1340.154429
405.0,1115,1343.077086
500.0,1106,1345.857482
290.0,1248,1349.102203
275.0,1095,1351.900783
195.0,1148,1354.887444
500.0,1303,1358.196488
135.0,696,1359.939403
240.0,859,1362.150848
320.0,1219,1365.344584
775.0,1568,1369.500008
485.0,1441,1373.36895
280.0,1075,1376.041383
475.0,1091,1378.866789
240.0,1110,1381.687507
260.0,915,1406.185666
285.0,944,1408.605723
240.0,1126,1411.547625
420.0,903,1413.907131
580.0,1405,1417.595691
645.0,1374,1421.137116
215.0,657,1422.781841
595.0,1136,1425.770385
550.0,1342,1429.273983
505.0,1313,1432.664831
305.0,1126,1435.65869
420.0,1075,1438.454493
455.0,1197,1441.563514
405.0,1107,1444.517254
190.0,974,1447.013956
490.0,1312,1450.46425
235.0,940,1452.844424
520.0,1338,1456.330429
690.0,1797,1461.026826
530.0,1033,1463.875518
650.0,1322,1467.416488
550.0,1241,1470.705575
495.0,1284,1474.048916
475.0,1178,1477.128858
320.0,915,1479.450103
205.0,973,1481.961342
550.0,1492,1485.842381
545.0,1369,1489.453432
370.0,1110,1492.327702
325.0,818,1494.546319
270.0,921,1496.898504
205.0,630,1498.470438
495.0,1368,1502.112336
630.0,1685,1506.544477
405.0,1399,1510.282691
245.0,903,1512.625617
420.0,1107,1515.503667
675.0,1270,1518.913707
500.0,1582,1523.193388
605.0,1135,1526.284125
775.0,1620,1530.523503
590.0,1091,1533.34449
470.0,1173,1536.417911
415.0,1083,1539.238131
600.0,1715,1543.780121
